
eff_date	amount
03/19/2021	1.278
12/18/2020	1.58
09/18/2020	1.339
06/19/2020	1.366
03/20/2020	1.406
12/20/2019	1.57
09/20/2019	1.384
06/21/2019	1.432
03/15/2019	1.233
12/21/2018	1.435
09/21/2018	1.323
06/15/2018	1.246
03/16/2018	1.097
12/15/2017	1.351
09/15/2017	1.235
06/16/2017	1.183
03/17/2017	1.033
12/16/2016	1.329
09/16/2016	1.082
06/17/2016	1.078
03/18/2016	1.05
12/18/2015	1.212
09/18/2015	1.033
06/19/2015	1.03
03/20/2015	0.931
12/19/2014	1.135
09/19/2014	0.939
06/20/2014	0.937
03/21/2014	0.825
12/20/2013	0.98
09/20/2013	0.838
06/21/2013	0.839
